,Ticker,Chg_from_Hi,Chg_from_Lo,Chg_from_50davg,Short_Ratio,Is_Dead_Cat
38,MNK,-53.280073744,13.8738064033,-2.788623694,5.55096742201,1
39,GERN,-11.5207373272,107.567567568,-2.43194192377,11.0271199024,1
40,SM,-76.8174885613,36.9369369369,-46.3370505872,6.23898150626,1
41,GLNG,-29.8620689655,79.3018335684,14.2573490131,5.21454677692,1
42,CLF,-72.3872387239,16.7441860465,-8.48277401592,8.08490750026,1
43,SAIA,-14.5055722625,60.5647840532,-9.37558597412,2.54287892382,1
44,SN,-18.6836518047,234.497816594,-6.18845288678,3.55787196012,1
45,HOS,-54.2412617221,9.93343573989,-12.9740997791,6.09856739855,1
46,OPK,-1.79640718563,84.2696629213,11.9947969897,12.5363191927,1
47,CCOI,-11.0804712961,19.186827957,0.7845752392,7.10388265834,1
48,CUDA,0.0,91.6078105526,15.9394415116,2.21914650909,1
49,CENX,-56.4790996785,5.00387897595,-7.74650336275,5.10322633487,1
50,MRO,-64.6361013145,63.8930163447,19.2800865132,1.79299227196,1
51,MKTO,-36.5557553957,26.2639821029,8.00690479352,8.03132573122,1
52,HZNP,-7.43307086614,255.595886267,14.9522358059,1.88595821194,1
53,IRBT,-29.8199385156,9.6397941681,-6.895003909,12.7384507708,1
54,REXX,-85.3023255814,26.4,-46.0073924263,3.60192915605,1
55,GLUU,-6.42570281124,108.035714286,36.7605661922,4.17381346535,1
56,RATE,-40.1056676273,29.0890269151,-0.132387552301,13.8321711776,1
57,COP,-29.7020029311,35.4140526976,-3.69060139593,2.53878782857,1
58,DWRE,-59.2906299629,9.66131907308,-35.799292925,11.4669685917,1
59,TSLA,-19.1581596979,24.9945945946,-11.1498028332,6.06028489717,1
60,WPX,-27.8234854151,171.06741573,5.95603558384,3.285713821,1
61,AGIO,-52.5249113325,57.2147651007,12.8587289167,7.98289822671,1
62,SMBK,-18.67,7.32,-1.16,3.22,0
63,UGI,-0.85,43.64,1.42,2.82,0
64,USAP,-14.36,91.64,3.98,3.43,0
65,HBP,-20.14,86.96,-2.65,0.1,0
66,ETW,-12.0,18.46,3.02,0.0,0
67,CMT,-29.21,72.48,12.1,0.24,0
68,AIMT,-57.68,22.72,3.44,6.41,0
69,CBYL,-92.359,4.038,-22.632,0.41,0
70,WRN,-12.5,355.0,7.49,0.79,0
71,ECCA,-3.54,14.84,0.39,0.0,0
72,BLOX,-23.09,41.6,-0.41,6.82,0
73,VG,-20.08,55.24,3.95,2.67,0
74,ECC,-18.251,27.602,2.552,0.0,0
75,REI,-31.14,98.5,-7.86,7.57,0
76,IRIX,-2.58,152.49,6.16,4.55,0
77,LECO,-4.21,36.28,3.39,7.51,0
78,NBD,-1.7,19.76,1.57,0.0,0
79,OACQW,-5.1111,0.0,inf,0.0,0
80,ABTX,-10.69,75.66,2.7,3.75,0
81,CONE,-2.05,83.84,2.19,2.42,0
82,INNL,-65.53,13.13,-14.93,0.22,0
83,SLF,-6.99,30.3,0.44,6.06,0
84,NK,-79.11,25.78,5.52,12.73,0
85,CERE,-91.729,148.125,7.132,1.07,0
86,HSTM,-14.11,36.12,-6.69,5.47,0
87,EQBK,-9.39,41.19,1.34,4.42,0
88,FENG,-42.11,17.52,2.82,2.81,0
89,FNTCU,0.0,0.0,inf,0.0,0
90,CGO,-15.63,23.01,3.93,0.0,0
91,CTF,-13.35,0.84,-2.0,0.0,0
92,CRK,-79.769,49.7091,-2.737,5.0,0
93,ECL,-3.35,20.04,-0.53,4.04,0
